"""Time""","""ADA / Market Cap (USD)"""
"""2017-12-01""",4043203619.8651857
"""2017-12-02""",4152084368.746708
"""2017-12-03""",4107002442.12795
"""2017-12-04""",4249514335.664521
"""2017-12-05""",4009391182.066183
"""2017-12-06""",3769054836.6759415
"""2017-12-07""",3334171789.5872808
"""2017-12-08""",3605610061.950087
"""2017-12-09""",3763511180.213803
"""2017-12-10""",3413501899.717909
"""2017-12-11""",3743684632.986289
"""2017-12-12""",4295963376.287272
"""2017-12-13""",4215473024.1927776
"""2017-12-14""",7415065488.683951
"""2017-12-15""",6710594673.121301
"""2017-12-16""",13035382875.997478
"""2017-12-17""",14949443235.10178
"""2017-12-18""",16201601500.693247
"""2017-12-19""",16458730173.933046
"""2017-12-20""",14860012545.047583
"""2017-12-21""",14822728639.446585
"""2017-12-22""",13251592986.271076
"""2017-12-23""",13248058580.789219
"""2017-12-24""",12268951697.10712
"""2017-12-25""",13110288797.714205
"""2017-12-26""",13233408975.840189
"""2017-12-27""",12731722467.245932
"""2017-12-28""",12673974550.101576
"""2017-12-29""",16999276738.061054
"""2017-12-30""",20903458601.613243
"""2017-12-31""",22637862865.0269
"""2018-01-01""",22940910735.274773
"""2018-01-02""",24596063707.13709
"""2018-01-03""",32126629003.94964
"""2018-01-04""",36109225246.222946
"""2018-01-05""",29848238642.83558
"""2018-01-06""",31357772548.32168
"""2018-01-07""",30917901163.541218
"""2018-01-08""",27470409518.132675
"""2018-01-09""",24466857927.023445
"""2018-01-10""",24108989201.70329
"""2018-01-11""",21083926916.037964
"""2018-01-12""",28251660918.95811
"""2018-01-13""",27185864037.334312
"""2018-01-14""",24869031754.222374
"""2018-01-15""",24189616221.244545
"""2018-01-16""",19085031456.380455
"""2018-01-17""",19661037766.436436
"""2018-01-18""",20122821632.150677
"""2018-01-19""",20048005723.834743
"""2018-01-20""",21981474800.297764
"""2018-01-21""",19099533573.216736
"""2018-01-22""",17596167032.49079
"""2018-01-23""",17602408090.321167
"""2018-01-24""",19302174333.050117
"""2018-01-25""",19710574968.112717
"""2018-01-26""",19237287166.37459
"""2018-01-27""",19170865564.229633
"""2018-01-28""",19458654131.524715
"""2018-01-29""",18339209279.425655
"""2018-01-30""",15590729593.11804
"""2018-01-31""",15420801083.461227
"""2018-02-01""",12748819799.034847
"""2018-02-02""",12450572195.213068
"""2018-02-03""",14062192378.833395
"""2018-02-04""",12177862958.42693
"""2018-02-05""",9702030601.213388
"""2018-02-06""",11277000872.190315
"""2018-02-07""",10282425533.372267
"""2018-02-08""",12192252423.5581
"""2018-02-09""",11746336430.11277
"""2018-02-10""",11914264571.907974
"""2018-02-11""",10947921043.119358
"""2018-02-12""",11546067406.179667
"""2018-02-13""",10994181988.534008
"""2018-02-14""",12092267613.896564
"""2018-02-15""",12120988771.893078
"""2018-02-16""",12209869715.760378
"""2018-02-17""",12836679403.482933
"""2018-02-18""",11354161240.477573
"""2018-02-19""",11646168665.669825
"""2018-02-20""",10832127797.13925
"""2018-02-21""",10300335210.98542
"""2018-02-22""",9743435817.562424
"""2018-02-23""",9988399881.578646
"""2018-02-24""",9365448245.989416
"""2018-02-25""",10172418844.61163
"""2018-02-26""",10107379732.662962
"""2018-02-27""",10249422958.77308
"""2018-02-28""",9404732194.753235
"""2018-03-01""",9345541016.614618
"""2018-03-02""",8999300338.37564
"""2018-03-03""",9035043338.520037
"""2018-03-04""",9298152214.548687
"""2018-03-05""",9160027294.649582
"""2018-03-06""",8621033613.555344
"""2018-03-07""",7534419691.44618
"""2018-03-08""",6635991939.14022
"""2018-03-09""",6668027822.190316
"""2018-03-10""",6278642462.37586
"""2018-03-11""",6817934033.12495
"""2018-03-12""",6768306802.300158
"""2018-03-13""",6767596932.759795
"""2018-03-14""",6035719327.791188
"""2018-03-15""",5657912050.632949
"""2018-03-16""",5511541539.520981
"""2018-03-17""",4728847962.533864
"""2018-03-18""",4839910693.663635
"""2018-03-19""",5791096526.451864
"""2018-03-20""",6272094841.212862
"""2018-03-21""",6404531405.751339
"""2018-03-22""",6195108475.642047
"""2018-03-23""",5700341291.215468
"""2018-03-24""",5836459734.407929
"""2018-03-25""",5634843018.710338
"""2018-03-26""",5141657316.496688
"""2018-03-27""",4770917311.7397585
"""2018-03-28""",4894957151.904396
"""2018-03-29""",4449340351.933778
"""2018-03-30""",4416666677.045436
"""2018-03-31""",4707115667.110562
"""2018-04-01""",4577297460.815059
"""2018-04-02""",4726842969.392294
"""2018-04-03""",5272383501.632334
"""2018-04-04""",4720368855.447155
"""2018-04-05""",4594126065.361467
"""2018-04-06""",4440310158.271473
"""2018-04-07""",4573868971.805115
"""2018-04-08""",4839325536.507608
"""2018-04-09""",4689036708.339672
"""2018-04-10""",4821784034.300714
"""2018-04-11""",5170538063.794659
"""2018-04-12""",6749327358.95057
"""2018-04-13""",6309303278.82617
"""2018-04-14""",6365097514.411257
"""2018-04-15""",7028049561.7163105
"""2018-04-16""",7908799645.933661
"""2018-04-17""",7566376780.136701
"""2018-04-18""",8161163352.177386
"""2018-04-19""",8386030919.212249
"""2018-04-20""",9347439811.270306
"""2018-04-21""",8891196138.88187
"""2018-04-22""",8793300806.311745
"""2018-04-23""",8937730956.66359
"""2018-04-24""",9696851568.664766
"""2018-04-25""",8365221674.010115
"""2018-04-26""",9087109684.352427
"""2018-04-27""",8926116817.666828
"""2018-04-28""",11136269438.979134
"""2018-04-29""",11284250849.106256
"""2018-04-30""",10471378657.480465
"""2018-05-01""",11030541359.88959
"""2018-05-02""",11552166291.421312
"""2018-05-03""",11377635473.658522
"""2018-05-04""",11151597883.13098
"""2018-05-05""",11295695198.278503
"""2018-05-06""",10672028422.862383
"""2018-05-07""",10251326245.583641
"""2018-05-08""",10080420981.038626
"""2018-05-09""",9883355158.603632
"""2018-05-10""",9166777848.129942
"""2018-05-11""",8035133158.182522
"""2018-05-12""",8257641379.826382
"""2018-05-13""",8667284275.669727
"""2018-05-14""",8278436585.404287
"""2018-05-15""",7951590322.000921
"""2018-05-16""",7805320437.442597
"""2018-05-17""",7454821595.857199
"""2018-05-18""",7560241358.244986
"""2018-05-19""",7505090924.524955
"""2018-05-20""",7920548906.015142
"""2018-05-21""",7668467960.876659
"""2018-05-22""",6881680513.028442
"""2018-05-23""",6212277043.604411
"""2018-05-24""",6441743752.591949
"""2018-05-25""",6112460340.784136
"""2018-05-26""",6064091142.170396
"""2018-05-27""",5965728581.547908
"""2018-05-28""",5391439847.928146
"""2018-05-29""",6263790917.342729
"""2018-05-30""",6524513199.457802
"""2018-05-31""",6907313471.2501135
"""2018-06-01""",6849060703.993623
"""2018-06-02""",7063680088.609085
"""2018-06-03""",7034817859.39798
"""2018-06-04""",6582840493.106306
"""2018-06-05""",6787957646.513283
"""2018-06-06""",6662327225.223641
"""2018-06-07""",6504543316.739821
"""2018-06-08""",6384734027.779059
"""2018-06-09""",6280640577.383568
"""2018-06-10""",5373879306.226028
"""2018-06-11""",5545183654.468229
"""2018-06-12""",5035943683.9194145
"""2018-06-13""",4917914833.009152
"""2018-06-14""",5294282116.397932
"""2018-06-15""",5017299244.894946
"""2018-06-16""",5043380520.3854475
"""2018-06-17""",4994398704.251163
"""2018-06-18""",5092131587.80786
"""2018-06-19""",5169130312.063197
"""2018-06-20""",5033353392.813831
"""2018-06-21""",4918188525.920668
"""2018-06-22""",4306636680.642983
"""2018-06-23""",4287712380.885929
"""2018-06-24""",4069746115.630139
"""2018-06-25""",4201154423.8915896
"""2018-06-26""",3931035611.641675
"""2018-06-27""",3964799056.787011
"""2018-06-28""",3679436717.417357
"""2018-06-29""",3916317810.6672726
"""2018-06-30""",4250518376.1185627
"""2018-07-01""",4467639506.500876
"""2018-07-02""",4812411210.973521
"""2018-07-03""",4645653855.6248255
"""2018-07-04""",4708967796.809969
"""2018-07-05""",4580443519.15127
"""2018-07-06""",4508335169.382234
"""2018-07-07""",4547101479.8134575
"""2018-07-08""",4512372227.917287
"""2018-07-09""",4343534377.064337
"""2018-07-10""",3995501825.978211
"""2018-07-11""",4080943132.4350147
"""2018-07-12""",3866882330.586408
"""2018-07-13""",4265116065.511697
"""2018-07-14""",4259643999.29512
"""2018-07-15""",4433098658.635424
"""2018-07-16""",4898796306.910218
"""2018-07-17""",5337665465.678239
"""2018-07-18""",5622660703.184645
"""2018-07-19""",5663587120.501031
"""2018-07-20""",5014990190.2526455
"""2018-07-21""",5103619964.320691
"""2018-07-22""",5264285460.5593815
"""2018-07-23""",5148803307.371054
"""2018-07-24""",5387736982.316249
"""2018-07-25""",5379792881.261863
"""2018-07-26""",5095893771.640059
"""2018-07-27""",5161056648.998918
"""2018-07-28""",5076928700.554819
