"""Time""","""NEXO / Market Cap Estimated (USD)"""
"""2019-06-22""",54728825.02029189
"""2019-06-23""",57052676.78149037
"""2019-06-24""",70730428.71028177
"""2019-06-25""",67519684.95348781
"""2019-06-26""",66352847.01215993
"""2019-06-27""",61763758.44219395
"""2019-06-28""",67572820.87169744
"""2019-06-29""",66158371.1777638
"""2019-06-30""",63146113.07534401
"""2019-07-01""",59275273.46690548
"""2019-07-02""",60491202.25337343
"""2019-07-03""",63677404.05149198
"""2019-07-04""",57347344.2377351
"""2019-07-05""",55898539.62472175
"""2019-07-06""",56081904.95424303
"""2019-07-07""",55649207.40909928
"""2019-07-08""",62470005.32234173
"""2019-07-09""",60458343.074961245
"""2019-07-10""",60013170.91680625
"""2019-07-11""",54128542.32997822
"""2019-07-12""",56274955.32373368
"""2019-07-13""",55952148.967814274
"""2019-07-14""",49756794.03854487
"""2019-07-15""",55070163.46977949
"""2019-07-16""",46500459.39630186
"""2019-07-17""",48086325.48212377
"""2019-07-18""",55213750.1651408
"""2019-07-19""",55360520.7857203
"""2019-07-20""",56704285.477144234
"""2019-07-21""",53499223.662322894
"""2019-07-22""",53347815.13037461
"""2019-07-23""",58294816.477239154
"""2019-07-24""",64949968.688671455
"""2019-07-25""",62346691.65476661
"""2019-07-26""",64854144.664405376
"""2019-07-27""",63930253.18996675
"""2019-07-28""",61936180.66783881
"""2019-07-29""",63530014.33868042
"""2019-07-30""",62896178.66527492
"""2019-07-31""",71049235.46430783
"""2019-08-01""",66289054.48714805
"""2019-08-02""",65164373.64696921
"""2019-08-03""",61196855.25952668
"""2019-08-04""",53472009.81851859
"""2019-08-05""",51369622.536652826
"""2019-08-06""",50185234.0991805
"""2019-08-07""",50258182.59112777
"""2019-08-08""",49981079.564602375
"""2019-08-09""",45582045.20527969
"""2019-08-10""",44552801.28584568
"""2019-08-11""",46389873.21242737
"""2019-08-12""",47929236.641940124
"""2019-08-13""",46307016.41575778
"""2019-08-14""",40381451.28640186
"""2019-08-15""",41480205.7378401
"""2019-08-16""",43429524.17107182
"""2019-08-17""",44635334.34501278
"""2019-08-18""",45957722.94793786
"""2019-08-19""",47233865.98752309
"""2019-08-20""",45886193.99057431
"""2019-08-21""",42658614.57686036
"""2019-08-22""",41847850.18645807
"""2019-08-23""",42950492.69167754
"""2019-08-24""",40668307.19151377
"""2019-08-25""",39755466.24614627
"""2019-08-26""",44595324.47118239
"""2019-08-27""",41059667.680291206
"""2019-08-28""",38624084.41490892
"""2019-08-29""",37996065.18285885
"""2019-08-30""",37380723.5852409
"""2019-08-31""",37024551.91227107
"""2019-09-01""",38097082.33128795
"""2019-09-02""",39594814.46548386
"""2019-09-03""",40347776.06279
"""2019-09-04""",40113614.79630089
"""2019-09-05""",42828867.811701655
"""2019-09-06""",44937119.61481726
"""2019-09-07""",46955369.03864411
"""2019-09-08""",45794116.92485315
"""2019-09-09""",49105659.03422472
"""2019-09-10""",48648475.4831331
"""2019-09-11""",54666678.46918352
"""2019-09-12""",52598982.47942503
"""2019-09-13""",49775531.184761226
"""2019-09-14""",50958384.86234688
"""2019-09-15""",50363350.161434114
"""2019-09-16""",50334251.39283295
"""2019-09-17""",55079777.8736958
"""2019-09-18""",56212109.5269312
"""2019-09-19""",59379693.364069074
"""2019-09-20""",56217547.62358877
"""2019-09-21""",57372534.22611265
"""2019-09-22""",56880312.22738718
