"""Time""","""SOLANA / Price (USD)"""
"""2024-12-01""",1.4722164685617981e-09
"""2024-12-02""",1.3543395295123273e-09
"""2024-12-03""",1.2888087041052817e-09
"""2024-12-04""",1.2674719190639176e-09
"""2024-12-05""",1.5069255794438563e-09
"""2024-12-06""",1.4563067825145373e-09
"""2024-12-07""",2.248290542386952e-09
"""2024-12-08""",2.2376286671934415e-09
"""2024-12-09""",1.7750937301792639e-09
"""2024-12-10""",1.6503749614031143e-09
"""2024-12-11""",1.7127004225322835e-09
"""2024-12-12""",1.829556848002333e-09
"""2024-12-13""",1.9110919054971244e-09
"""2024-12-14""",2.0927477780527208e-09
"""2024-12-15""",1.997289045184203e-09
"""2024-12-16""",1.8448168924409885e-09
"""2024-12-17""",1.841167096812939e-09
"""2024-12-18""",1.7363047697137228e-09
"""2024-12-19""",1.609390242899143e-09
"""2024-12-20""",1.465412037938759e-09
"""2024-12-21""",1.471545502747087e-09
"""2024-12-22""",1.4146077560405435e-09
"""2024-12-23""",1.2268784414806408e-09
"""2024-12-24""",1.2929009420107754e-09
"""2024-12-25""",1.3261411922274606e-09
"""2024-12-26""",1.3289602701913599e-09
"""2024-12-27""",1.2493441350030875e-09
"""2024-12-28""",1.231826705379705e-09
"""2024-12-29""",1.2448803915969793e-09
"""2024-12-30""",9.660454188799311e-10
"""2024-12-31""",9.564756704403452e-10
"""2025-01-01""",9.645213627080698e-10
"""2025-01-02""",9.423050905746966e-10
"""2025-01-03""",1.0972268653854795e-09
"""2025-01-04""",1.4037531163753041e-09
"""2025-01-05""",1.389795763194226e-09
"""2025-01-06""",1.2598501825995676e-09
"""2025-01-07""",1.2256191183090786e-09
"""2025-01-08""",1.080587460419016e-09
"""2025-01-09""",1.061568459638699e-09
"""2025-01-10""",1.0150855787623058e-09
"""2025-01-11""",1.0456488694572365e-09
"""2025-01-12""",9.998057804193809e-10
"""2025-01-13""",9.9218939413962e-10
"""2025-01-14""",9.598896532604358e-10
"""2025-01-15""",9.822339796006984e-10
"""2025-01-16""",9.659392471194122e-10
"""2025-01-17""",9.222752907176356e-10
"""2025-01-18""",1.011456558008003e-09
"""2025-01-19""",9.992379506388472e-10
"""2025-01-20""",1.2415079268450056e-09
"""2025-01-21""",9.69862358470871e-10
"""2025-01-22""",9.991450550445404e-10
"""2025-01-23""",9.72019036141552e-10
"""2025-01-24""",1.0098402641148784e-09
"""2025-01-25""",1.0168121580878176e-09
"""2025-01-26""",1.0254825884768625e-09
"""2025-01-27""",9.848183219972475e-10
"""2025-01-28""",8.975427401426851e-10
"""2025-01-29""",8.718276924977235e-10
"""2025-01-30""",8.31338305412166e-10
"""2025-01-31""",8.633314281924571e-10
"""2025-02-01""",9.03562688262794e-10
"""2025-02-02""",8.327603767049844e-10
"""2025-02-03""",6.755383479641479e-10
"""2025-02-04""",7.442680469757408e-10
"""2025-02-05""",7.32838930584432e-10
"""2025-02-06""",7.235714338384178e-10
"""2025-02-07""",6.948523996930291e-10
"""2025-02-08""",6.740911132063706e-10
"""2025-02-09""",6.641807347834479e-10
"""2025-02-10""",6.619237543251512e-10
"""2025-02-11""",6.662332729096919e-10
"""2025-02-12""",6.589492418140599e-10
"""2025-02-13""",6.76013158720533e-10
"""2025-02-14""",6.613725827512458e-10
"""2025-02-15""",6.796500661873644e-10
"""2025-02-16""",6.666681157825205e-10
"""2025-02-17""",6.224044629989498e-10
"""2025-02-18""",6.445146181729839e-10
"""2025-02-19""",6.626372987048704e-10
"""2025-02-20""",6.680992841044606e-10
"""2025-02-21""",6.699536639551808e-10
"""2025-02-22""",6.674752132802392e-10
"""2025-02-23""",7.071208892929966e-10
"""2025-02-24""",7.249355238990541e-10
"""2025-02-25""",6.3961075308176e-10
"""2025-02-26""",6.464757972647968e-10
